BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
690,NUDGEE BEACH,BOONDALL WETLANDS,TAP COMBINATION,BUBBLER & TAP,-27.3409219,153.0779498
691,NUDGEE BEACH,BOONDALL WETLANDS,TAP COMBINATION,BUBBLER & TAP,-27.3408897,153.0780717
692,NUDGEE BEACH,BOONDALL WETLANDS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3594763,153.0979819
693,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,BUBBLER & TAP,-27.3712612,153.1006904
694,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.3623353,153.1021541
695,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,BUBBLER & TAP,-27.3624017,153.1021556
696,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,BUBBLER & TAP,-27.3513718,153.1057518
697,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,BUBBLER & TAP,-27.3509544,153.1059139
698,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.350924,153.1061424
699,NUDGEE BEACH,TUCKEROO PARK,TAP COMBINATION,BUBBLER & TAP,-27.3503051,153.1062364
700,NUNDAH,BOYD PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.4008046,153.0560816
701,NUNDAH,BOYD PARK,TAP COMBINATION,BUBBLER & TAP,-27.4003398,153.056215
702,NUNDAH,BOYD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.401586,153.0574994
703,NUNDAH,CAREW STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4047354,153.0513054
704,NUNDAH,ROSS PARK,TAP COMBINATION,BUBBLER &  2 TAPS,-27.4085909,153.0590101
705,NUNDAH,ROSS PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4093045,153.0588855
706,NUNDAH,TOOMBUL TERRACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4059783,153.0523984
707,NUNDAH,TOOMBUL TERRACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4074279,153.0544912
708,NUNDAH,ALBERT BISHOP PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4058911,153.0711877
709,NUNDAH,ALBERT BISHOP PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4049477,153.0673473
710,NUNDAH,ALBERT BISHOP PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.407281,153.0674378
711,NUNDAH,ALBERT BISHOP PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4039603,153.068393
712,NUNDAH,ALBERT BISHOP PARK,TAP COMBINATION,BUBBLER & TAP,-27.4039626,153.0693498
713,NUNDAH,ALBERT BISHOP PARK,TAP COMBINATION,BUBBLER & TAP,-27.4050775,153.072132
714,NUNDAH,WOOD STREET PARK (ROAD RESERVE),BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4010312,153.0590978
715,VIRGINIA,A.R.C.HILL PARK,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.3855256,153.0559242
716,VIRGINIA,WEST PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.3831521,153.0691617
717,WAVELL HEIGHTS,RILATT PARK,TAP COMBINATION,BUBBLER & TAP,-27.3921524,153.0479784
718,WAVELL HEIGHTS,BELLOY STREET PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.3971404,153.0427175
719,WAVELL HEIGHTS,STUDLEY PARK,TAP COMBINATION,BUBBLER & TAP,-27.3900681,153.0434273
720,WAVELL HEIGHTS,STUDLEY PARK,TAP COMBINATION,BUBBLER & TAP,-27.3900483,153.0441597
721,WAVELL HEIGHTS,FRANK ROBERTS PARK,TAP COMBINATION,BUBBLER & TAP,-27.3950203,153.0509854
722,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4012565,153.039844
723,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4015914,153.039988
724,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4063024,153.0437255
725,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4034876,153.0411575
726,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4076522,153.0419424
727,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4026945,153.0467273
728,WAVELL HEIGHTS,SHAW ESTATE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4029506,153.0473667
729,CALAMVALE,CYRIL SIMS PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.6135278,153.0599699
730,CALAMVALE,CARAVONICA COURT PARK,TAP COMBINATION,BUBBLER & TAP,-27.6153099,153.057113
731,CALAMVALE,EDEN ELM STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6198065,153.0542258
732,CALAMVALE,GOWAN ROAD PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.6310351,153.0567892
733,CALAMVALE,GOWAN ROAD PARK,TAP COMBINATION,BUBBLER & TAP,-27.6314831,153.0576178
734,CALAMVALE,CURRAJONG STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6175846,153.0526752
735,CALAMVALE,BORAGE PLACE PARK,TAP COMBINATION,TAP COMBINATION,-27.628831,153.0503225
736,DREWVALE,KARAWATHA FOREST SOUTH,TAP COMBINATION,BUBBLER & TAP,-27.6428561,153.0476923
737,DREWVALE,MUSCARI CRESCENT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6407992,153.0462032
738,DREWVALE,LAPFORD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.651817,153.0497971
739,KARAWATHA,KARAWATHA FOREST PARK,TAP COMBINATION,BUBBLER & TAP,-27.6235053,153.0912091
740,KARAWATHA,KARAWATHA FOREST PARK,TAP COMBINATION,BUBBLER & TAP,-27.6232634,153.0914299
741,KARAWATHA,KARAWATHA FOREST PARK,TAP COMBINATION,"DRINKING FOUNTAIN, 2 TAPS, DOG BOWL",-27.623756,153.0931414
742,KARAWATHA,KARAWATHA FOREST PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6337711,153.0955292
743,RUNCORN,WILLIAMS PARK,TAP COMBINATION,BUBBLER & TAP,-27.6027142,153.0709762
744,RUNCORN,GROVE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.599816,153.0783002
745,RUNCORN,SHIRLEY SESTER PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6035225,153.0779084
746,RUNCORN,LEXUS STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6005025,153.0747944
747,RUNCORN,GLENEFER STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6004258,153.069053
748,RUNCORN,MAYNARD PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.606184,153.0716919
749,STRETTON,PRESIDENTIAL PARK,TAP COMBINATION,BUBBLER & TAP,-27.6135383,153.0719486
750,STRETTON,REGENCY PLACE PARK (NO.16),TAP COMBINATION,BUBBLER & TAP,-27.6167858,153.0751265
751,STRETTON,STRETTON COMMUNITY PARK,TAP COMBINATION,TAP COMBINATION,-27.617616,153.068615
752,STRETTON,STRETTON COMMUNITY PARK,TAP COMBINATION,TAP COMBINATION,-27.6176028,153.0688511
753,STRETTON,HAWTHORN AVENUE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6275699,153.0615002
754,STRETTON,STRETTON WETLAND RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.631226,153.0587194
755,SUNNYBANK HILLS,WESTAWAY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5911639,153.0525397
756,SUNNYBANK HILLS,WESTAWAY PARK,TAP COMBINATION,TAP COMBINATION,-27.5905041,153.0525596
757,SUNNYBANK HILLS,JACK PYLE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6021083,153.0623654
758,SUNNYBANK HILLS,JACK PYLE PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.6025104,153.0628303
759,SUNNYBANK HILLS,BENDELL PARK,TAP COMBINATION,BUBBLER & TAP,-27.5921677,153.0545426
760,SUNNYBANK HILLS,HONEYWOOD STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6102395,153.0591907
761,SUNNYBANK HILLS,PEPPERCORN STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.6051757,153.0578376
762,SUNNYBANK HILLS,FALSTAFF STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6062503,153.0517653
763,SUNNYBANK HILLS,PATERSON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6029082,153.0527708
764,SUNNYBANK HILLS,BORELLA ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5974373,153.0537314
765,SUNNYBANK HILLS,BOORAL STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5963473,153.0621956
766,SUNNYBANK HILLS,HOLDEN PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5952499,153.0423773
767,SUNNYBANK HILLS,SYMONS ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5958274,153.0572118
768,SUNNYBANK HILLS,GIBBINS STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6043352,153.0519803
769,SUNNYBANK HILLS,ROBERT MITCHELL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5832035,153.0419371
770,SUNNYBANK HILLS,LYNELLE STREET PARK (LOT 300),TAP COMBINATION,BUBBLER & TAP,-27.6022673,153.0507311
771,SUNNYBANK HILLS,BENBEK CIRCUIT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6012654,153.0427408
772,SUNNYBANK HILLS,COVENTRY PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6018659,153.0538025
773,EIGHT MILE PLAINS,PRIESTDALE ROAD PARK (NO.2596),TAP COMBINATION,BUBBLER & 2 TAPS,-27.5836765,153.0995238
774,EIGHT MILE PLAINS,SUMMERGLEN PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.5896409,153.0894046
775,EIGHT MILE PLAINS,SUMMERGLEN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5896369,153.0894044
776,EIGHT MILE PLAINS,NORUP PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5872456,153.0881652
777,EIGHT MILE PLAINS,NORUP PARK,TAP COMBINATION,BUBBLER & TAP,-27.5872502,153.0881814
778,EIGHT MILE PLAINS,GAGARRA STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.58255,153.0886998
779,EIGHT MILE PLAINS,ALLARA PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5830354,153.0965496
780,EIGHT MILE PLAINS,ALLARA PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5830447,153.0965301
781,EIGHT MILE PLAINS,DEWBERRY CLOSE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5859964,153.0859415
